Timestamp_ms,RAW_ADC,Label
3569,1023,Rest
3579,51,Rest
3589,1023,Rest
3599,77,Rest
3609,1023,Rest
3619,57,Rest
3629,1023,Rest
3639,73,Rest
3649,1023,Rest
3659,56,Rest
3668,1023,Rest
3679,47,Rest
3689,1023,Rest
3699,51,Rest
3709,1023,Rest
3719,44,Rest
3729,1023,Rest
3739,37,Rest
3749,1023,Rest
3759,40,Rest
3769,1023,Rest
3779,32,Rest
3789,1023,Rest
3799,43,Rest
3809,1023,Rest
3819,35,Rest
3829,985,Rest
3840,27,Rest
3849,1023,Rest
3859,35,Rest
3869,1023,Rest
3879,31,Rest
3889,1023,Rest
3899,27,Rest
3909,1023,Rest
3919,28,Rest
3929,868,Rest
3939,23,Rest
3949,1023,Rest
3959,30,Rest
3969,809,Rest
3979,22,Rest
3989,1017,Rest
3999,29,Rest
4009,776,Rest
4019,21,Rest
4029,717,Rest
4039,20,Rest
4049,717,Rest
4059,20,Rest
4069,703,Rest
4079,20,Rest
4089,598,Rest
4099,16,Rest
4109,522,Rest
4119,13,Rest
4129,562,Rest
4139,15,Rest
4149,606,Rest
4159,16,Rest
4169,493,Rest
4179,13,Rest
4189,399,Rest
4199,11,Rest
4209,406,Rest
4219,12,Rest
4229,345,Rest
4239,12,Rest
4249,350,Rest
4259,14,Rest
4269,333,Rest
4279,16,Rest
4289,332,Rest
4299,16,Rest
4308,293,Rest
4319,16,Rest
4329,302,Rest
4339,18,Rest
4349,295,Rest
4359,20,Rest
4369,326,Rest
4379,22,Rest
4389,230,Rest
4399,19,Rest
4409,259,Rest
4419,22,Rest
4429,215,Rest
4439,19,Rest
4449,204,Rest
4459,19,Rest
4469,189,Rest
4480,18,Rest
4489,204,Rest
4499,19,Rest
4509,152,Rest
4519,16,Rest
4529,182,Rest
4539,15,Rest
4549,183,Rest
4559,14,Rest
4569,131,Rest
4579,12,Rest
4589,137,Rest
4599,12,Rest
4609,116,Rest
4619,12,Rest
4629,152,Rest
4639,14,Rest
4649,118,Rest
4659,15,Rest
4669,108,Rest
4679,17,Rest
4689,111,Rest
4699,22,Rest
4709,116,Rest
4719,24,Rest
4729,76,Rest
4739,25,Rest
4749,101,Rest
4759,30,Rest
4769,80,Rest
4779,30,Rest
4789,87,Rest
4799,33,Rest
4809,84,Rest
4819,48,Rest
4829,62,Rest
4839,1023,Rest
4849,57,Rest
4859,1023,Rest
4869,50,Rest
4879,1023,Rest
4889,67,Rest
4899,1023,Rest
4909,42,Rest
4919,1023,Rest
4929,55,Rest
4939,1023,Rest
4948,40,Rest
4959,1023,Rest
4969,45,Rest
4979,1023,Rest
4989,54,Rest
4999,1023,Rest
5009,34,Rest
5019,1023,Rest
5029,39,Rest
5039,1023,Rest
5049,37,Rest
5059,1023,Rest
5069,28,Rest
5079,916,Rest
5089,30,Rest
5099,1014,Rest
5109,29,Rest
5120,750,Rest
5129,21,Rest
5139,817,Rest
5149,39,Rest
5159,746,Rest
5169,17,Rest
5179,1002,Rest
5189,27,Rest
5199,866,Rest
5209,22,Rest
5219,674,Rest
5229,16,Rest
5239,755,Rest
5249,19,Rest
5259,784,Rest
5269,20,Rest
5279,745,Rest
5289,20,Rest
5299,867,Rest
5309,24,Rest
5319,518,Rest
5329,13,Rest
5339,580,Rest
5349,16,Rest
5359,654,Rest
5369,18,Rest
5379,390,Rest
5389,10,Rest
5399,514,Rest
5409,14,Rest
5419,452,Rest
5429,11,Rest
5439,438,Rest
5449,10,Rest
5459,446,Rest
5469,11,Rest
5479,438,Rest
5489,11,Rest
5499,367,Rest
5509,10,Rest
5519,440,Rest
5529,13,Rest
5539,355,Rest
5549,11,Rest
5559,301,Rest
5569,11,Rest
5579,338,Rest
5588,16,Rest
5599,276,Rest
5609,13,Rest
5619,292,Rest
5629,15,Rest
5639,190,Rest
5649,13,Rest
5659,252,Rest
5669,18,Rest
5679,267,Rest
5689,19,Rest
5699,188,Rest
5709,18,Rest
5719,231,Rest
5729,21,Rest
5739,230,Rest
5749,21,Rest
